ActiveIntent,Utterance
find_attraction,"how about one that is in the type of museum.and make Make sure you get address"
find_attraction,"I'm looking for some place to go in the town centre. Something sports related."
find_attraction,"OK, are there any colleges in the center of town?"
find_attraction,"Yes, Christ's College. What is the entrance fee for that college?"
find_attraction,"Yes, I'd like the post code. Also, if you can't get it for Christ's College, do you know the entrance fee for Downing College, by any chance?"
find_attraction,"I am looking for some entertainment, do you know anywhere I could go in the centre of town?"
find_attraction,"That's fine. I'd like to know about museums in the area instead."
find_attraction,"Fitzwilliam Museum sounds great. What is the postcode?"
find_attraction,"Great. Now can you book a taxi for me between the two places? From The Varsity Restaurant to Fitzwilliam Museum?"
find_attraction,"Actually it's from Fitzwilliam Museum to The Varsity Restaurant I want to arrive by the 11:15 booking please."
find_attraction,"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find."
find_attraction,"Anything you'd recommend, as long as it's in the centre."
find_attraction,"Sounds good! Could I have the address and entrance fee, please?"
find_attraction,"Thanks! Do you have a phone number so I can find the entrance fee."
find_attraction,"Thank you! And this is a cinema attraction?"
find_attraction,"I don't need anything else."
find_attraction,"I would like free parking and wifi for sure. Preferably on the west side with 4 stars, too."
find_attraction,"Thank you, yes, I'd like to also find a nice park to visit while I'm in town. Can you see if there is one near my hotel?"
find_attraction,"No, but can you try to find a museum in the west please?"
find_attraction,"May I please get their address and phone number?"
find_attraction,"Is there anything interesting to see in the centre of town?"
find_attraction,"I would be interested in seeing some interesting architecture."
find_attraction,"You're right. I forgot to select an architectural sight that I wanted to visit. Could you suggest one in the city centre."
find_attraction,"No, but I am looking for a nightclub to go to. What ones are there?"
find_attraction,"Club Salsa sounds good. Can I get their phone number, address and postcode please?"
find_attraction,"Does such a place exist? If so, I would like some information on it, like the postcode."
find_attraction,"Yes, do you have any suggestions of places to go in the centre?"
find_attraction,"Yes, I enjoy going to museums. Can you recommend one?"
find_attraction,"That sounds great. Can you please provide me with the phone number and postcode."
find_attraction,"yes that would be fine. Are there any colleges in the centre that we can also visit? And may I have the address please?"
find_attraction,"Sure, which one would you recommend of the free ones?"
find_attraction,"Hi, I am planning a trip and need some suggestions. I am looking for places to go in town."
find_attraction,"The attraction should be in the centre and should be in the type of cinema."
find_attraction,"What is the postcode for The Vue Cineme?"
find_attraction,"Can you book me a taxi to get me from the cinema to the hotel?"
find_attraction,"I am also looking for an attraction."
find_attraction,"I would like to find a cinema."
find_attraction,"Hi, I am planning a trip to your beautiful town and am looking for places to go when I get there. Can you help me?"
find_attraction,"I'm interested in exploring the local architecture."
find_attraction,"Do you have a favorite?"
find_attraction,"I need a place that is architecture."
find_attraction,"Could I have the postcode, area and entrance fee of what you recommend?"
find_attraction,"Yes, I'm looking for a particular attraction called Whale of a Time. Do you have any information on it?"
find_attraction,"Could I have the postcode, address, and entrance fee?"
find_attraction,"I'd like to find out more about taking a tour of Trinity College."
find_attraction,"Actually, can you tell me what type of attraction it is? My friend suggested it and mentioned the name, but not much else."
find_attraction,"Yeah, I'd like a moderately priced restaurant. And type of food doesn't actually matter. Just somewhere moderately priced in the centre of town."
find_attraction,"I am also looking for museums in the area."
find_attraction,"I don't really care, what do you recommend? I will need the postcode and entrance fee please."
find_attraction,"I'm looking for a place to dine in the centre in the moderate price range."
find_attraction,"Can you tell what attractions are near the restaurant?"
find_attraction,"No, what do you recommend?"
find_attraction,"What is the entrance fee and phone number?"
find_attraction,"i am looking for places to go in town. The attraction should be in the type of college and should be in the centre."
find_attraction,"ok. What is their phone number?"
find_attraction,"i'm also interested in places to go in town."
find_attraction,"I would like information on the colleges in the centre please."
find_attraction,"recommend any and give me the entrance fee and postcode"
find_attraction,"I would like to go to a theatre in town. How many are there and where are they?"
find_attraction,"I don't care, anywhere in town is fine."
find_attraction,"Sure. What is the Address, phone number and postcode?"
find_attraction,"Hello, can I please have some information on the types of museums that are available in Cambridge and their location?"
find_attraction,"Not really anywhere specific, and I don't care about the price range."
find_attraction,"What is the postcode and phone number there?"
find_attraction,"Hi, I am planning my Cambridge trip and could use some help with a particular attraction."
find_attraction,"No, I need help with a particular attraction. Can you help?"
find_attraction,"I'm looking for tenpin I want the address and entrance fee."
find_attraction,"I am looking for some places to go in town. I'm so excited about seeing some of the local attractions."
find_attraction,"What do you recommend? I will be need the address, entrance fee, and postcode for what you recommend please."
find_attraction,"Could I have the address, entrance fee, and postcode."
find_attraction,"I'm sorry,was Christ's College in the centre? I did need something in that area."
find_attraction,"Is there one in the centre with free parking"
find_attraction,"Hi, can you suggest some tourist sites to visit in Cambridge?"
find_attraction,"Yes, I'd love to visit a college. Is there a nice one in the city centre?"
find_attraction,"What's the entrance fee, address, and phone number?"
find_attraction,"Hi, I'm curious about attractions located in the center of town."
find_attraction,"I don't care about entrance fees."
find_attraction,"Yes I would like the center."
find_attraction,"Sounds good, could I get the address please?"
find_attraction,"no that takes crare of it"
find_attraction,"I am trying to find a museum to go to while I am in Cambridge on holiday."
find_attraction,"I have no particular area in mind. Which do you recommend and can I get the entrance fee and phone number please?"
find_attraction,"Yes can you get me the phone number and entrance fee of a museum? It can be located anywhere in Cambridge."
find_attraction,"I'm looking for an attraction in the category of swimming pool."
find_attraction,"I'm pretty open. Can you list the areas? I'll choose one of the four."
find_attraction,"Please tell me about the locations of some pools in the south."
find_attraction,"One in the east is fine. I need the address please?"
find_attraction,"Can you help me find a concert hall?"
find_attraction,"I need a concerthall on the west area of town."
find_attraction,"Yes, I would consider a museum."
find_attraction,"Can you make a recommendation and please provide the entrance fee, phone number, and postcode."
find_attraction,"Thank you. Are there any attractions I could visit in the town centre?"
find_attraction,"No not really. Can you recommend me an attraction that's in the centre area? Can I also get the address, entrance fee, and phone number for it? Thanks!"
find_attraction,"Whatever is the most popular attraction"
find_attraction,"I'm looking for places to go in town centre. I'm interested in entertainment. Can you suggest a place to go?"
find_attraction,"I was looking for entertainment, but if there is nothing how about a college?"
find_attraction,"Hi! I'm looking for an attraction named Kambar."
find_attraction,"thanks i want to get its entry fee and address"
find_attraction,"Is there a entrance fee?"
find_attraction,"I prefer the Nandos in the City Center. Also, I need information about museums or art galleries in the west."
find_attraction,"Yes, I am looking to kill some time in town. Are there any museums on the west side?"
find_attraction,"Thank you. What is the post code for Cafe Jello Gallery?"
find_attraction,"I would like the centre."
find_attraction,"I am looking for any multiple sport attractions near the restaurant to visit."
find_attraction,"Are there any museums in that area?"
find_attraction,"Please provide the entrance fees."
find_attraction,"I would like you to pick a nice on and give me more info on it please."
find_attraction,"Yes that one sounds nice. Can you tell me when they open and close also?"
find_attraction,"I'm also looking for a particular attraction. It's called Scudamores Punting Co. Could you give me their information?"
find_attraction,"Yes. Can I also have their phone number."
find_attraction,"I am staying in the centre of cambridge, can you tell me about places to go there?"
find_attraction,"It doesn't matter but can I get their entrance fee."
find_attraction,"i need somewhere to go."
find_attraction,"I am looking for a nice museum"
find_attraction,"You may suggest one to me."
find_attraction,"Are there any free attractions in the area?"
find_attraction,"That sounds great. Can I get the phone number for it?"
find_attraction,"I am looking for a place to visit in town that is architecture."
find_attraction,"I'd like churches, and any really old buildings. If you could give me the addresses of a few of those that would be great."
find_attraction,"What is the post code for that place and the area of town it is in?"
find_attraction,"No tickets yet. But I do need info on a swimming pool in the north. I you could recommend one?"
find_attraction,"Yes please. I'll also need the entrance fee, post code and address."
find_attraction,"The outdoor pool please."
find_attraction,"Can you tell me more about the attraction called cambridge museum of technology?"
find_attraction,"What part of town is it in? Do you have the postcode?"
find_attraction,"Hi, I'm looking for information on entertainment attractions located in the centre."
find_attraction,"Can you help me find a restaurant?"
find_attraction,"You convinced me. How about a college?"
find_attraction,"No. Just give me your best recommendation."
find_attraction,"Yes, I'm looking for colleges in the centre."
find_attraction,"Yes. Is there an entrance fee?"
find_attraction,"Can I have the address and postcode? Thanks for your help!"
find_attraction,"No. I do need to find a swimming pool in the west."
find_attraction,"Is parkside pools on the west side?"
find_attraction,"That won't work then. I need one in the west."
find_attraction,"How about a museum?"
find_attraction,"Yes, the one in the north does."
find_attraction,"Yes are there any parks in the same area as the restaurant?"
find_attraction,"Yes could I please get the phone number."
find_attraction,"No thanks. I don't need a reservation yet. I am also looking to find a great place to do some boating."
find_attraction,"No, where would you suggest?"
find_attraction,"That sounds good. Can I get the postcode please?"
find_attraction,"Hello, I'm looking for a place to go in the north. Could you suggest some places?"
find_attraction,"Can I get the phone number please?"
find_attraction,"Thanks. Could you also look up information for Jesus College?"
find_attraction,"That's all I needed."
find_attraction,"Yes could you also help me find a nightclub to visit in the city center?"
find_attraction,"Awesome... what is the postcode for the Ballare?"
find_attraction,"I need a hotel in the west part of cambridge. I don't care if it has internet."
find_attraction,"No. Actually sorry. It should be a cheap hotel in the west."
find_attraction,"No, just the phone number and address. I am also looking for places to go in the same area as the hotel."
find_attraction,"I have no preference, just something in the same area as the hotel."
find_attraction,"Yes please thank you"
find_attraction,"I need the postcode as well."
find_attraction,"No particular area but free parking would be nice"
find_attraction,"Actually, yes. I wanted to visit a college whilst I'm in town. Could you recommend one for me?"
find_attraction,"I really do not have a preference on the area. Which one would you recommend?"
find_attraction,"Can you give me the phone number for it?"
find_attraction,"I would like the address and phone number to De Luca Cucina and Bar. Also looking for places to visit in the same area."
find_attraction,"I would like it to be in the same area yes."
find_attraction,"You can recommend anything as long as it is in the same area as the restaurant."
find_attraction,"Please, and the entrance fee as well."
find_attraction,"leave the attraction by 19:15"
find_attraction,"Hello, I'm looking for an architecture place to go in the centre of town."
find_attraction,"Old Schools sounds cool - can I have their phone number?"
find_attraction,"Hello, can you recommend attractions in the Centre of town, please?"
find_attraction,"That sounds great, thank you very much! What type of attraction is that?"
find_attraction,"I'm looking for a place to go in the centre of town."
find_attraction,"I'd like a nightclub please."
find_attraction,"What is their address and the entrance fee?"
find_attraction,"Oh, I'm sorry I need to get to gallery at twelve a high street."
find_attraction,"It's called gallery at twelve a high street."
find_attraction,"Please find a place called Club Salsa."
find_attraction,"Wonderful. The address was exactly what I wanted. You're so efficient."
find_attraction,"Can you get me from Club Salsa to De Luca Cucina by 13:00 please?"
find_attraction,"Yes I am looking for a hotel in the centre of town."
find_attraction,"Thank you. I also would like to find some places to go in the area of the hotel."
find_attraction,"I think I would like it to be of the multiple sports type."
find_attraction,"Are there any theatres near the University Arms Hotel?"
find_attraction,"Okay, can I please have the postcode?"
find_attraction,"Thanks! I'll also need a taxi from the theatre to the hotel, and I'll need to leave the theatre by 07:30, please."
find_attraction,"I'm looking for information about a particular attraction. It's called the Man on the Moon."
find_attraction,"Not right now. Can you tell me it's postcode and entrance fee?"
find_attraction,"Thank you. Is there a museum in the same area as the restaurant that I could go to?"
find_attraction,"Alright, that sounds good to me. Could you give me their address and phone number please?"
find_attraction,"I'm looking for information on the People's Portrait Exhibition at Girton College."
find_attraction,"Yes please. You said it was free, correct?"
find_attraction,"Thank you. I also need to find a place to go in the centre of town. The type of attraction should be entertainment."
find_attraction,"Can you make a suggestion?"
find_attraction,"Are there any boat attractions?"
find_attraction,"That sounds great. Can I get the phone number, address, and entrance fee?"
find_attraction,"I am looking for places to go in town in the north."
find_attraction,"No I don't care."
find_attraction,"Uh, let's set it up for a park visit. I'll need the address and is there an entrance fee?"
find_attraction,"I'm planning a trip and need some suggestions. I'm looking for places to go in town."
find_attraction,"Can I get some information on nightclubs in the east area?"
find_attraction,"how about one that is in the type of museum."
find_attraction,"Could I have the phone number and postcode?"
find_attraction,"I don't care about that. I do need a 4-star, moderately priced accommodation in the east area, but it doesn't need to have free parking."
find_attraction,"I am looking for places to go in Cambridge. Are there any nightclubs?"
find_attraction,"I do not have a preference. Can you give me the phone number and postcode for one?"
find_attraction,"I'm also looking for an attraction near the restaurant. Do you recommend anything?"
find_attraction,"That would be perfect. What do you recommend?"
find_attraction,"No thank you. But could you please get me the phone number and postcode for Williams art and antiques?"
find_attraction,"Thanks! Can you also tell me about colleges in the east?"
find_attraction,"how about one that is in the type of museum?"
find_attraction,"postcode and entrance fee only thanks !"
find_attraction,"I'm going south in town, anything interesting to go to there?"
find_attraction,"I'll take a recommendation."
find_attraction,"Yes, could I get the address, postcode and entrance fee?"
find_attraction,"it is called parkside pools. find me their post code."
find_attraction,"I am sorry, i'm looking for a attraction called parkside pools not a restaurant. Do you have their postcode?"
find_attraction,"I'm seeking an attraction! A boat one will be nice."
find_attraction,"No, I'd like the name of one in the centre please."
find_attraction,"Yes please! Thank you so much!"
find_attraction,"Are there any boating activities available?"
find_attraction,"I don't care, what do you have?"
find_attraction,"Yeah what's the address of Camboats? I also need an expensive place to eat."
find_attraction,"I also need suggestions for places to go. I'm interested in seeing colleges in the north."
find_attraction,"Could you please try for something in the boat category?"
find_attraction,"i place want a place to go in the centre"
find_attraction,"I would like a museum in the centre please."
find_attraction,"Is that the full address for the museum? Free School Lane?"
find_attraction,"Hello, I would like information on club Salsa"
find_attraction,"Can you let me have their postcode?"
find_attraction,"Hello! I'm looking for some entertainment in the centre please!"
find_attraction,"Could you please provide me with some information on an attraction that is in he type of museum?"
find_attraction,"What is the entrance fee for the contemporary art museum?"
find_attraction,"Free is the best price! I'll probably be hungry after the museum. Are there any moderately priced Italian restaurants around?"
find_attraction,"Great! I'll need a taxi that will take me from the museum to the restaurant by 11:30. Can you book one for me?"
find_attraction,"I am looking for a swimming pool to go to in the north."
find_attraction,"Great can I get their phone number?"
find_attraction,"No, thank you."
find_attraction,"Do you show any Indian restaurants in that area?"
find_attraction,"Yes, I'd also like to visit a museum."
find_attraction,"You can just choose the one you like best please and then tell me its postcode and area"
find_attraction,"Thanks! I am also looking for suggestions for night clubs."
find_attraction,"What is the entrance fee and the phone number for the one in the south?"
find_attraction,"No, that's all I needed! Thanks you've been so helpful! Bye!"
find_attraction,"I am looking for a college to visit."
find_attraction,"I don't have a preference, but could I have the entrance fee, postcode, and phone number please?"
find_attraction,"I will be departing from Clare college at 02:15."
find_attraction,"I wanted to visit a place called Center, could you tell me the hours it's open, and if it is an attraction that I would need to book in advance?"
find_attraction,"ok. can you find me a nice hotel where i can spend over the weekend"
find_attraction,"Yes, I am interested in one located in the city Centre. Can you list out several for me so I can choose from them?"
find_attraction,"Please give me a list of nightclubs and the admission fee"
find_attraction,"Can you give me the post code for the Soul Tree Nightclub?"
find_attraction,"I'd prefer something in the North, a 4 star hotel with free wifi if possible."
find_attraction,"What about a guesthouse with 4 stars in the north?"
find_attraction,"I'm sorry, I meant to ask for help finding something fun to do in town in the north side of town. I don't need a restaurant after all."
find_attraction,"can I get a boat?"
find_attraction,"find me its entrance fee"
find_attraction,"I'm not ready to book it. I would just like to know the entrance fee."
find_attraction,"What museums are there in the north area of town?"
find_attraction,"How about a swimming pool then?"
find_attraction,"Thank you. I just need the phone number and I'm wondering how much the entrance fee is?"
find_attraction,"What's the hotel type, postcode, and star of the hotel?"
find_attraction,"Thank you!! Can you also recommend places to go around the centre. My wife is really into architecture."
find_attraction,"Can I get the address of that?"
find_attraction,"can you recommend a good place to go in the centre?"
find_attraction,"Can you suggest one for me please. I need the postcode, entrance fee if any and phone number"
find_attraction,"I'm wanting information about museums in the centre of town."
find_attraction,"The fitzwilliam sounds good. Could I get the phone number?"
find_attraction,"I'm also looking for an attraction preferably on a boat in the west."
find_attraction,"Hmm. What about museums?"
find_attraction,"Sure. That sounds good. Can I get their address and postcode please?"
find_attraction,"Can you recommend some places to go in the west side of town?"
find_attraction,"Not really. What would you recommend?"
find_attraction,"What is the postcode and address for the museum?"
find_attraction,"I am wanting to go to the theatre. Are there any in the centre of town?"
find_attraction,"The adc theatre sounds perfect. Could I get the postcode and phone number please?"
find_attraction,"I don't care about the price, but I would like a place in the centre of town with free parking."
find_attraction,"Is El Shaddai in the centre of town?"
find_attraction,"Thank you so much! I'm also looking for parks to see. Can you help me with this?"
find_attraction,"I am not particular but could I have an address for a popular one?"
find_attraction,"Not right now, thanks. I would like to go to a museum while I'm in town, though."
find_attraction,"No, any area is fine. Can you suggest one?"
find_attraction,"I would like the address and phone number."
find_attraction,"Yes, can you tell me some good places to go while I'm in town?"
find_attraction,"I think we'd like to see a museum - do you have any recommendations?"
find_attraction,"That sounds perfect. What is there address?"
find_attraction,"Do you have their phone number?"
find_attraction,"Please find me some information about the mutliple sports in the centre"
find_attraction,"No, I need to stay in the centre. Are there any parks there?"
find_attraction,"Great! What is their phone number?"
find_attraction,"Thanks, I am also looking for somewhere to go in the centre area."
find_attraction,"Yes, I'd like the address please."
find_attraction,"No thank you. I need information on a attraction called scott polar museum."
find_attraction,"Entrance fee, attraction type, and phone number please."
find_attraction,"Looking for a place to go to in the centre area, a type of college."
find_attraction,"Sounds great! Can I have their postalcode and phone number please?"
find_attraction,"Yes, I'm also looking for places to go in town."
find_attraction,"I would like to find a museum in the centre of town."
find_attraction,"Yes, please. What is your favorite museum? I'd like their address and postcode. You're a lifesaver!"
find_attraction,"I will be traveling soon and am excited about seeing some attractions. I am looking for a place to stay when I get there."
find_attraction,"Thank you! I would like to stay in the North part of town, please."
find_attraction,"Thanks. Yes, I am also looking for places to go when I get there. Are there any cinemas in the same area as Archway House?"
find_attraction,"I am looking for a cinema, are there any in the area?"
find_attraction,"I need a cinema in the north."
find_attraction,"What about a pool in the north?"
find_attraction,"Can I have the phone number and postcode for Kings Hedges?"
find_attraction,"I am trying to get some suggestions on where I can take my wife for our anniversary. We want to try to find something fun to do."
find_attraction,"Sounds interesting. Can I get the entrance fee and postcode info?"
find_attraction,"Well, I guess I forgot to specify that I need something on the south end of town."
find_attraction,"Are there any attractions at all on the south side of the city?"
find_attraction,"What are some places to go to?"
find_attraction,"Recommend something for me, as long as it is in the center."
find_attraction,"That sounds perfect, thanks. Can you also help me find a guesthouse to stay in? I'd like a 4 star location, please."
find_attraction,"Hello, I would like information on Milton County Park."
find_attraction,"I need information on the fitzwilliam museum"
find_attraction,"Can I get the phone number, address, and area it is located in?"
find_attraction,"That doesn't really matter, but I do need it to include free wifi."
find_attraction,"Please find a park in the north."
find_attraction,"Could I get the postcode, address and entrance fee for that location, please?"
find_attraction,"I'd like the one in the north, please?"
find_attraction,"Thank you! I am also looking for places to go in the Centre part of town. Can you help me with that, please?"
find_attraction,"What are the old schools? Do you mean colleges?"
find_attraction,"What is the phone number please?"
find_attraction,"I am looking for something to do in Cambridge, can you help me find something?"
find_attraction,"I would like to go to a nightclub."
find_attraction,"May I have the phone and please tell me how much it costs to get in."
find_attraction,"i am also looking for scudamores punting co, what attraction type is it?"
find_attraction,"Okay, book it for 8 people and get me the reference number. I'm also looking for a college in the south."
find_attraction,"I am also interested in visiting some colleges on the southern tip of town. Can you help me find those?"
find_attraction,"Yes, an entertainment venue would be great. Please give me an address to one you find."
find_attraction,"Hello, could you tell me about the swimming attractions around Cambridge. Something pool based please."
find_attraction,"Actually, I would like the address, please."
find_attraction,"What is there to do in the centre of town?"
find_attraction,"Possibly a theatre?"
find_attraction,"Ok, what's the phone number for that place?"
find_attraction,"What's the postcode?"
find_attraction,"I also want to go to an attraction in the center part of town."
find_attraction,"That sounds great. May I have the phone number and postcode, please?"
find_attraction,"I have some questions about attractions, today."
find_attraction,"I want to learn about attractions in the west side of town."
find_attraction,"Surprise me :) I need the address, postcode and the entrance fee. I also need a vegetarian restaurant with a moderate price range."
find_attraction,"I'm also looking for a college to see in the centre area. Can you give me some matches to this criteria?"
find_attraction,"Christ's college sounds perfect. Can I get the postcode and phone number please?"
find_attraction,"Before we do that are there any attractions that feature a swimming pool in town?"
find_attraction,"What is the name, entrance fee, and phone number of the one in the center?"
find_attraction,"Do you have entrance fees for any of the others?"
find_attraction,"Can I get some information on milton country park?"
find_attraction,"Can you tell me what area Milton Country Park is in and what the entrance fee is?"
find_attraction,"I am looking for an attraction in the centre of Cambridge."
find_attraction,"Yes, please find any museums in the town centre."
find_attraction,"I need the postcode. Also, is there any place in town serving barbeque?"
find_attraction,"Tell me a good nightclub."
find_attraction,"Yes, please may I have the postcode for the first one listed?"
find_attraction,"Well, I was going to visit Christ college so same area is that. I forgot to ask you earlier, I always confuse hospitals and colleges."
find_attraction,"it doesn't matter. i will be looking for a taxi to commute between the two places."
find_attraction,"No thank you. I also would like a place to go in town."
find_attraction,"I am looking for a college."
find_attraction,"It doesn't matter, pick one for me? I'll just need the address."
find_attraction,"I want the north area."
find_attraction,"Yes please. What do you have in the same area as the hotel?"
find_attraction,"Boating sounds fun what's the entrance fee? I also need the phone number and address."
find_attraction,"Thanks. Can you book me a taxi to take me from Acorn Guesthouse to the Riverboat Georgina by 20:15?"
find_attraction,"Yes, i am looking for colleges to visit on the west side of town."
find_attraction,"Get me a phone number for one that is close to the hotel and is free."
find_attraction,"Make sure you get contact number and i'll be there as soon thank you"
find_attraction,"that's okay, give me the number for the college closest to the hotel and is free, may I know the address as well?"
find_attraction,"none in the west, I talked so someone earlier"
find_attraction,"Could you give me the address and phone number?"
find_attraction,"I will need to be picked up at the hotel by 4:45 to arrive at the college on tuesday."
find_attraction,"I am looking for places to go. preferably a museum in west."
find_attraction,"No, I'd just like it to be in the west. Can you pick one and provide a phone number?"
find_attraction,"I was first wondering the price of that train and what time it arrived. Oh! I also forgot to ask for the postcode of the Gallery!"
find_attraction,"Can you also find an attraction called Milton Country Park?"
find_attraction,"Could you tell me what kind of attraction that is?"
find_attraction,"A hotel that has free parking and in the north part of town. I would like one in the moderate price range."
find_attraction,"I would also like to find a boat attraction in the same area."
find_attraction,"Yes, I'd like the phone number and postcode."
find_attraction,"I need help finding places to go in town. I want to go to nightclub type attractions in the centre of Cambridge."
find_attraction,"Do any of them have an entrance fee?"
find_attraction,"What is there to do or see for entertainment?"
find_attraction,"What is in the centre?"
